corpus_order,paper_id,inspire_id,year,title,authors,document_type,arxiv_ids,dois,report_numbers,inspire_url,pilot_included,pilot_order,pilot_series,full_text_status,local_pdf_path,local_pdf_relative_path,local_pdf_filename,local_pdf_bytes,local_pdf_pages,sha256,source_manifest_sha256,hash_verification,pdf_source,pdf_source_url,alternate_local_artifact_count,alternate_local_artifact_paths,multiple_arxiv_artifacts,duplicate_record_of,record_flags,retrieval_errors
1,inspire:115597,115597,1976,Delta I = 1/2 Rule in the Weinberg-Salam Model,"Gates, S.J.",article,,10.1103/PhysRevD.14.3227,,https://inspirehep.net/literature/115597,false,,,metadata_only,,,,,,,,,,,0,,false,,,APS publisher: HTTP 403 | DOI content negotiation: HTTP 403
2,inspire:108473,108473,1976,Gauging a Pseudosymmetry,"Gates, S.James, Jr.",article,,10.1103/PhysRevD.14.1357,MIT-CTP-528,https://inspirehep.net/literature/108473,false,,,metadata_only,,,,,,,,,,,0,,false,,,APS publisher: HTTP 403 | DOI content negotiation: HTTP 403
3,inspire:111455,111455,1976,Spinor Yang-Mills Superfields,"Gates, S. James, Jr.",article,,10.1103/PhysRevD.16.1727,MIT-CTP-583,https://inspirehep.net/literature/111455,false,,,metadata_only,,,,,,,,,,,0,,false,,,APS publisher: HTTP 403 | DOI content negotiation: HTTP 403
4,inspire:119079,119079,1977,A Note on the Geometry of Global Supersymmetry,"Gates, S. James, Jr.",article,,,MIT-CTP-604,https://inspirehep.net/literature/119079,false,,,metadata_only,,,,,,,,,,,0,,false,,,
5,inspire:119503,119503,1977,On the Geometry of Superspace,"Gates, S. James, Jr.",article,,,MIT-CTP-621,https://inspirehep.net/literature/119503,false,,,metadata_only,,,,,,,,,,,0,,false,,,
6,inspire:121291,121291,1977,On the Geometry of Superspace and Local Supersymmetry. 1.,"Gates, S.James, Jr.",article,,10.1103/PhysRevD.17.3188,MIT-CTP-663,https://inspirehep.net/literature/121291,false,,,metadata_only,,,,,,,,,,,0,,false,,,APS publisher: HTTP 403 | DOI content negotiation: HTTP 403
7,inspire:119080,119080,1977,Supersymmetry and Yang-Mills Invariance in (1+1)-Dimensions,"Gates, S.James, Jr.",article,,,MIT-CTP-605,https://inspirehep.net/literature/119080,false,,,metadata_only,,,,,,,,,,,0,,false,,,
8,inspire:129105,129105,1978,A NOTE ON THE GEOMETRY OF LOCAL SUPERSYMMETRY,"Gates, S.James, Jr.",article,,,HUTP-78/A001,https://inspirehep.net/literature/129105,false,,,metadata_only,,,,,,,,,,,0,,false,,,
9,inspire:129790,129790,1978,Local Supersymmetry in Superspace,"Gates, S.James, Jr. | Shapiro, Joel A.",article,,10.1103/PhysRevD.18.2768,MIT-CTP-709,https://inspirehep.net/literature/129790,false,,,metadata_only,,,,,,,,,,,0,,false,,,APS publisher: HTTP 403 | DOI content negotiation: HTTP 403
10,inspire:130840,130840,1978,ON THE GEOMETRY OF SUPERSPACE AND LOCAL SUPERSYMMETRY. 2.,"Gates, S.James, Jr.",article,,,HUTP-78/A028,https://inspirehep.net/literature/130840,false,,,metadata_only,,,,,,,,,,,0,,false,,,
11,inspire:6893,6893,1978,Superfield Supergravity,"Siegel, Warren | Gates, S.James, Jr.",article,,10.1016/0550-3213(79)90416-4,HUTP-78/A019,https://inspirehep.net/literature/6893,false,,,metadata_only,,,,,,,,,,,0,,false,,,DOI content negotiation: not PDF (text/html;charset=UTF-8)
12,inspire:143334,143334,1979,'SUPERCONFORMAL' SYMMETRY BREAKDOWN AS A GUIDE TO SUPERGRAVITY CONSTRAINTS,"Gates, S.James, Jr.",conference paper,,,HUTP-79-A069,https://inspirehep.net/literature/143334,false,,,metadata_only,,,,,,,,,,,0,,false,,,
13,inspire:141844,141844,1979,"(3/2, 1) Superfield of O(2) Supergravity","Gates, S.James, Jr. | Siegel, W.",article,,10.1016/0550-3213(80)90522-2,HUTP-79/A049,https://inspirehep.net/literature/141844,false,,,metadata_only,,,,,,,,,,,0,,false,,,DOI content negotiation: not PDF (text/html;charset=UTF-8)
14,inspire:140433,140433,1979,A Comment on Superspace Bianchi Identities and Six-dimensional Space-time,"Gates, S.James, Jr.",article,,10.1016/0370-2693(79)90285-5,HUTP-79/A016,https://inspirehep.net/literature/140433,false,,,metadata_only,,,,,,,,,,,0,,false,,,DOI content negotiation: not PDF (text/html;charset=UTF-8)
15,inspire:8700,8700,1979,Algebraic Origins of Superspace Constraints in Supergravity,"Gates, S.James, Jr. | Stelle, K.S. | West, Peter C.",article,,10.1016/0550-3213(80)90037-1,ICTP/79-80/8,https://inspirehep.net/literature/8700,false,,,metadata_only,,,,,,,,,,,0,,false,,,DOI content negotiation: not PDF (text/html;charset=UTF-8)
16,inspire:141077,141077,1979,Superconformal Transformations and Six-dimensional Space-time,"Gates, S.James, Jr.",article,,10.1016/0550-3213(80)90432-0,HUTP-79/A030,https://inspirehep.net/literature/141077,false,,,metadata_only,,,,,,,,,,,0,,false,,,DOI content negotiation: not PDF (text/html;charset=UTF-8)
17,inspire:140015,140015,1979,Superspace Bianchi Identities and the Supercovariant Derivative,"Brown, M. | Gates, S.James, Jr.",article,,10.1016/0003-4916(79)90210-0,HUTP-79/A002,https://inspirehep.net/literature/140015,false,,,metadata_only,,,,,,,,,,,0,,false,,,DOI content negotiation: not PDF (text/html;charset=UTF-8)
18,inspire:143311,143311,1979,Superspace Geometry and N=1 Nonminimal Supergravity,"Brown, M. | Gates, S.James, Jr.",article,,10.1016/0550-3213(80)90043-7,MIT-CTP-811,https://inspirehep.net/literature/143311,false,,,metadata_only,,,,,,,,,,,0,,false,,,DOI content negotiation: not PDF (text/html;charset=UTF-8)
